"","Date","Governorate","Target","facility_type"
"6165","27/01/2016","Al Hudaydah","House ( belongs to Hassan Kata'a)","Residential Area"
"6166","27/01/2016","Marib","SSF camp","Military Site"
"6167","27/01/2016","Marib","House","Figure"
"6168","27/01/2016","Amran","-","Unknown"
"6169","27/01/2016","Amran","Chickens farm","Farms"
"6170","27/01/2016","Amran","Pro-Houthi forces","Forces"
"6171","27/01/2016","Dhamar","House ( belongs to Mohammed Zaid Al-Shareef )","Residential Area"
"6172","27/01/2016","Dhamar","-","Unknown"
"6173","27/01/2016","Ibb","-","Unknown"
"6174","27/01/2016","Al Mahwit","-","Unknown"
"6175","27/01/2016","Al Mahwit","Wadi Sabir School","school"
"6176","27/01/2016","Al Mahwit","-","Unknown"
"6177","27/01/2016","Al Mahwit","-","Unknown"
"6178","27/01/2016","Al Mahwit","-","Unknown"
"6179","27/01/2016","Hadramaut","Pro-Houthi sites","Forces"
"6180","27/01/2016","Lahj","Al-Aamal trading and contracting company","Private business"
"6181","28/01/2016","Lahj","Cars workshop","Private business"
"6182","28/01/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6183","28/01/2016","Lahj","Presidential Palace","Military Site"
"6184","28/01/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6185","28/01/2016","Lahj","Military Engineering Unit","Military Site"
"6186","28/01/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6187","28/01/2016","Lahj","Al-Tashrifat Military Camp","Military Site"
"6188","28/01/2016","Lahj","Near the Celebration Stage","transport"
"6189","28/01/2016","Lahj","SSF camp","Military Site"
"6190","28/01/2016","Lahj","Community faculty","University"
"6191","28/01/2016","Lahj","Missiles Brigade Camp","Military Site"
"6192","28/01/2016","Lahj","-","Unknown"
"6193","28/01/2016","Lahj","63rd Mechanized Infantry Brigade","Military Site"
"6194","28/01/2016","Lahj","Al-Rayan City Project","Private business"
"6195","28/01/2016","Al Dhale'e","Pro-Houthi sites","Forces"
"6196","28/01/2016","Al Dhale'e","hostel","Sport Facility"
"6197","28/01/2016","Al Dhale'e","Zakah affairs branch building","Gov. Compounds"
"6198","28/01/2016","Taizz","Al-Aqil Potato chip factory","Private factory"
"6199","28/01/2016","Amran","30th Armoured Brigade (Al-Hamzah Military Camp)","Military Site"
"6200","28/01/2016","Dhamar","Pro-Houthi sites","Forces"
"6201","28/01/2016","Ibb","-","Unknown"
"6202","28/01/2016","Ibb","-","Unknown"
"6203","28/01/2016","Al Mahwit","-","Unknown"
"6204","28/01/2016","Al Mahwit","-","Unknown"
"6205","28/01/2016","Al Mahwit","Telecommunication network","Communication"
"6206","28/01/2016","Al Mahwit","House ( belongs to Mohammed Hussain Awshan )","Residential Area"
"6207","29/01/2016","Lahj","Military Academy","Military Site"
"6208","29/01/2016","Lahj","Al-Daylami Airbase","Military Site"
"6209","29/01/2016","Lahj","Al-Kaboos Tea Factory","Private factory"
"6210","29/01/2016","Lahj","Shihab Tissues Factory","Private factory"
"6211","29/01/2016","Lahj","House","Figure"
"6212","29/01/2016","Lahj","SSF camp","Military Site"
"6213","29/01/2016","Lahj","Community faculty","University"
"6214","29/01/2016","Lahj","Al-Orqoub Military Camp","Military Site"
"6215","29/01/2016","Lahj","House","Figure"
"6216","29/01/2016","Lahj","Special forces Military Camp","Military Site"
"6217","29/01/2016","Lahj","Pro-Houthi forces","Forces"
"6218","29/01/2016","Lahj","Pro-Houthi forces","forces"
"6219","29/01/2016","Lahj","Missiles Brigade Camp","Military Site"
"6220","29/01/2016","Amran","30th Armoured Brigade (Al-Hamzah Military Camp)","Military Site"
"6221","29/01/2016","Dhamar","-","Unknown"
"6222","29/01/2016","Dhamar","-","Unknown"
"6223","29/01/2016","Ibb","Yemen Mobile compnay telecommunications network","Communication"
"6224","29/01/2016","Hadramaut","Pro-Houthi sites","Forces"
"6225","29/01/2016","Hadramaut","Pro-Houthi forces","Forces"
"6226","29/01/2016","Al Mahwit","Al-Anad market","Market place"
"6227","29/01/2016","Al Mahwit","Kahlan Military Camp","Military Site"
"6228","29/01/2016","Lahj","-","Unknown"
"6229","29/01/2016","Lahj","Pro-Houthi forces","Forces"
"6230","29/01/2016","Lahj","Veterinary quarry","Other"
"6231","30/01/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6232","30/01/2016","Lahj","Presidential Palace","Military Site"
"6233","30/01/2016","Lahj","Al-Hafa Military Camp","Military Site"
"6234","30/01/2016","Lahj","Shihab Tissues Factory","Private factory"
"6235","30/01/2016","Lahj","House (reportedly belonging to sheikh Abduljabbar Al-Moghrabi) (reportedly used by pro-Houthi forces)","Unknown"
"6236","30/01/2016","Lahj","Marib Poultry Company","Private business"
"6237","29/01/2016","Lahj","Governmental compound","Gov. Compounds"
"6238","30/01/2016","Lahj","Pro-Houthi sites","forces"
"6239","30/01/2016","Lahj","Farah Land Park","Parks/Resorts"
"6240","30/01/2016","Lahj","Storage Units belonging to Al-Kabos Factory","Private business"
"6241","30/01/2016","Marib","Al-Hudaydah Airport","transport"
"6242","30/01/2016","Marib","Military Airport","Military Site"
"6243","30/01/2016","Amran","30th Armoured Brigade (Al-Hamzah Military Camp)","Military Site"
"6244","30/01/2016","Ibb","Anti-Houthi groups","forces"
"6245","30/01/2016","Al Mahwit","Clinic","Clinic"
"6246","30/01/2016","Al Mahwit","Houses","Residential Area"
"6247","30/01/2016","Lahj","-","Unknown"
"6248","31/01/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6249","31/01/2016","Lahj","Presidential Palace","Military Site"
"6250","31/01/2016","Lahj","House","Residential Area"
"6251","31/01/2016","Lahj","Pro-Houthi sites","forces"
"6252","31/01/2016","Lahj","Pro-Houthi sites","Forces"
"6253","31/01/2016","Lahj","Public works and roads building","Private business"
"6254","31/01/2016","Lahj","Farah Land Park","Parks/Resorts"
"6255","31/01/2016","Lahj","Public works and roads building","Gov. Compounds"
"6256","31/01/2016","Al Hudaydah","Pro-Houthi forces","Forces"
"6257","31/01/2016","Marib","-","Unknown"
"6258","31/01/2016","Dhamar","-","Unknown"
"6259","31/01/2016","Ibb","-","Unknown"
"6260","31/01/2016","Ibb","Pro-Houthi forces","forces"
"6261","31/01/2016","Al Mahwit","Telecommunications Network","Communication"
"6262","31/01/2016","Al Mahwit","-","Unknown"
"6263","31/01/2016","Al Mahwit","Al-Anad market","Residential Area"
"6264","31/01/2016","Al Mahwit","Kahlan Military Camp","Military Site"
"6265","31/01/2016","Al Mahwit","-","Unknown"
"6266","31/01/2016","Al Mahwit","Farms","Farms"
"6267","31/01/2016","Al Mahwit","-","Unknown"
"6268","31/01/2016","Al Mahwit","-","Unknown"
"6269","31/01/2016","Hadramaut","-","Unknown"
"6270","31/01/2016","Lahj","Power Station","Water & Electricity"
"6271","01/02/2016","Lahj","Al-Hafa Military Camp","Military Site"
"6272","01/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6273","01/02/2016","Lahj","Main Road","Transport"
"6274","01/02/2016","Lahj","Pro-Houthi forces","Military Site"
"6275","01/02/2016","Lahj","-","Unknown"
"6276","01/02/2016","Lahj","Al-Sawad Military Camp","Military Site"
"6277","01/02/2016","Lahj","Special forces Military Camp","Military Site"
"6278","01/02/2016","Al Dhale'e","-","Unknown"
"6279","01/02/2016","Taizz","Security HQ","Military Site"
"6280","01/02/2016","Al Hudaydah","Abu Dawar School","School"
"6281","01/02/2016","Al Hudaydah","Al-Ja'diyah school","School"
"6282","01/02/2016","Al Hudaydah","-","Unknown"
"6283","01/02/2016","Marib","Al-Hudaydah Airport","Transport"
"6284","01/02/2016","Al Mahwit","Houses","Residential Area"
"6285","01/02/2016","Al Mahwit","-","Unknown"
"6286","01/02/2016","Al Mahwit","-","Unknown"
"6287","01/02/2016","Al Mahwit","-","Unknown"
"6288","01/02/2016","Al Mahwit","House","Residential Area"
"6289","01/02/2016","Al Mahwit","Main Road","Transport"
"6290","01/02/2016","Al Mahwit","-","Unknown"
"6291","01/02/2016","Lahj","Al-Tawfeeq station","Oil & Gas"
"6292","02/02/2016","Lahj","Al-Hafa Military Camp","Military Site"
"6293","02/02/2016","Lahj","-","Unknown"
"6294","02/02/2016","Lahj","-","Unknown"
"6295","02/02/2016","Lahj","Ain Shah bridge","Transport"
"6296","02/02/2016","Lahj","Truck","Private business"
"6297","02/02/2016","Lahj","Checkpoint","Checkpoints"
"6298","02/02/2016","Lahj","Ain Shah bridge","Transport"
"6299","02/02/2016","Lahj","Al-Dahmashi house","Residential Area"
"6300","02/02/2016","Lahj","Civilian's car","Vehicle/buss"
"6301","02/02/2016","Lahj","-","Unknown"
"6302","02/02/2016","Lahj","Stone crusher","Unknown"
"6303","02/02/2016","Lahj","Sana'a - Marib road","Transport"
"6304","02/02/2016","Lahj","Stone crusher","Unknown"
"6305","02/02/2016","Lahj","Al-Sama'a Military Camp","Military Site"
"6306","02/02/2016","Al Hudaydah","Residential Area","Residential Area"
"6307","02/02/2016","Marib","Governmental Compound","Gov. Compounds"
"6308","02/02/2016","Marib","Al-Hudaydah Airport","Transport"
"6309","02/02/2016","Marib","-","Unknown"
"6310","02/02/2016","Ibb","-","Unknown"
"6311","02/02/2016","Ibb","Pro-Houthi forces","Forces"
"6312","02/02/2016","Al Mahwit","-","Unknown"
"6313","02/02/2016","Al Mahwit","Al-Dhaher - Haydan road","Transport"
"6314","02/02/2016","Al Mahwit","-","Unknown"
"6315","02/02/2016","Al Mahwit","Kahlan Military Camp","Military Site"
"6316","02/02/2016","Al Mahwit","-","Unknown"
"6317","02/02/2016","Al Mahwit","Al-Anad market","Market place"
"6318","02/02/2016","Lahj","-","Unknown"
"6319","02/02/2016","Lahj","House","HQ"
"6320","03/02/2016","Lahj","Al-Sawad Military Camp","Military Site"
"6321","03/02/2016","Lahj","Ahmad Abo Alhan car","Vehicle/buss"
"6322","03/02/2016","Lahj","-","Unknown"
"6323","03/02/2016","Lahj","-","Unknown"
"6324","03/02/2016","Lahj","Al-Sama'a Military Camp","Military Site"
"6325","03/02/2016","Al Dhale'e","Amran Cement Factory","Factory"
"6326","03/02/2016","Al Dhale'e","Civilian's house","Residential Area"
"6327","03/02/2016","Taizz","-","Unknown"
"6328","03/02/2016","Taizz","Wadi Rama'a bridge","Transport"
"6329","03/02/2016","Taizz","Main Road","Transport"
"6330","03/02/2016","Taizz","Al-Sharq-Dhamar road","Transport"
"6331","03/02/2016","Al Hudaydah","25th Mechanized Infantry Brigade","Military Site"
"6332","03/02/2016","Al Hudaydah","-","Unknown"
"6333","03/02/2016","Ibb","Pro-Houthi forces","Forces"
"6334","03/02/2016","Ibb","-","Unknown"
"6335","03/02/2016","Raymah","Ghlaimah bridge","Transport"
"6336","03/02/2016","Al Mahwit","-","Unknown"
"6337","03/02/2016","Al Mahwit","Residential Area","Residential Area"
"6338","03/02/2016","Al Mahwit","Civilians' houses","Residential Area"
"6339","03/02/2016","Al Mahwit","-","Unknown"
"6340","03/02/2016","Lahj","Al-Omary Military Camp","Military Site"
"6341","03/02/2016","Lahj","-","Unknown"
"6342","03/02/2016","Lahj","Republican Palace","Military Site"
"6343","04/02/2016","Lahj","Al-Sawad Military Camp","Military Site"
"6344","04/02/2016","Lahj","-","Unknown"
"6345","04/02/2016","Lahj","Al-Adi bridge","Transport"
"6346","04/02/2016","Al Dhale'e","Mohammed Al-Ghayli house","Residential Area"
"6347","04/02/2016","Al Hudaydah","Al-Haqouf Bridge","Transport"
"6348","04/02/2016","Al Hudaydah","Civilian's house","Residential Area"
"6349","04/02/2016","Al Hudaydah","-","Unknown"
"6350","04/02/2016","Amran","-","Unknown"
"6351","04/02/2016","Dhamar","-","Unknown"
"6352","04/02/2016","Ibb","-","Unknown"
"6353","04/02/2016","Ibb","-","Unknown"
"6354","04/02/2016","Ibb","Pro-Houthi forces","Forces"
"6355","04/02/2016","Al Mahwit","-","Unknown"
"6356","04/02/2016","Al Mahwit","-","Unknown"
"6357","04/02/2016","Al Mahwit","Civilian's house","Residential Area"
"6358","04/02/2016","Al Mahwit","Two Civilians' house","Residential Area"
"6359","04/02/2016","Al Mahwit","-","Unknown"
"6360","04/02/2016","Lahj","Security HQ","Military Site"
"6361","04/02/2016","Lahj","House","Figure"
"6362","04/02/2016","Lahj","-","Unknown"
"6363","05/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6364","05/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6365","05/02/2016","Lahj","Civilian's car","Vehicle/buss"
"6366","05/02/2016","Lahj","-","Unknown"
"6367","05/02/2016","Lahj","-","Unknown"
"6368","05/02/2016","Sa'ada","-","Unknown"
"6369","05/02/2016","Sa'ada","-","Unknown"
"6370","05/02/2016","Marib","YPC fuel station","Oil & Gas"
"6371","05/02/2016","Marib","Checkpoint","Checkpoints"
"6372","05/02/2016","Ibb","Saleh Mabkhout house","Residential Area"
"6373","05/02/2016","Ibb","Mos'id Al-Habbari car","Vehicle/buss"
"6374","05/02/2016","Al Mahwit","131st Infantry Brigade","Military Site"
"6375","05/02/2016","Al Mahwit","-","Unknown"
"6376","05/02/2016","Lahj","-","Unknown"
"6377","05/02/2016","Lahj","Pro-Houthi forces","Forces"
"6378","06/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6379","06/02/2016","Lahj","Sana'a International Airport","Transport"
"6380","06/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6381","06/02/2016","Lahj","Al-Sawad Military Camp","Military Site"
"6382","06/02/2016","Lahj","-","Unknown"
"6383","06/02/2016","Lahj","-","Unknown"
"6384","06/02/2016","Lahj","-","Unknown"
"6385","06/02/2016","Lahj","-","Unknown"
"6386","06/02/2016","Al Hudaydah","Telecommunications Network","Communication"
"6387","06/02/2016","Al Hudaydah","Pro-Houthi forces","Forces"
"6388","06/02/2016","Dhamar","Civilians' houses","Residential Area"
"6389","06/02/2016","Dhamar","-","Unknown"
"6390","06/02/2016","Dhamar","Security HQ","Military Site"
"6391","06/02/2016","Al Mahwit","-","Unknown"
"6392","06/02/2016","Lahj","Hamoud Ghalib Qaid house","Residential Area"
"6393","06/02/2016","Lahj","Residential Area","Residential Area"
"6394","06/02/2016","Lahj","-","Unknown"
"6395","06/02/2016","Lahj","-","Unknown"
"6396","06/02/2016","Lahj","-","Unknown"
"6397","06/02/2016","Lahj","-","Unknown"
"6398","06/02/2016","Lahj","Taiz-Al-Hudaydah road","Transport"
"6399","06/02/2016","Lahj","-","Unknown"
"6400","06/02/2016","Lahj","-","Unknown"
"6401","07/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6402","07/02/2016","Lahj","-","Unknown"
"6403","07/02/2016","Lahj","Water Tank","Water & Electricity"
"6404","07/02/2016","Lahj","Stones crusher","Unknown"
"6405","07/02/2016","Lahj","Air Defence Military Camp","Military Site"
"6406","07/02/2016","Lahj","Al-Sama'a Military Camp","Military Site"
"6407","07/02/2016","Lahj","-","Unknown"
"6408","07/02/2016","Lahj","-","Unknown"
"6409","07/02/2016","Lahj","Pro-Houthi forces","Forces"
"6410","07/02/2016","Lahj","Al-Sama'a Military Camp","Military Site"
"6411","07/02/2016","Lahj","Telecommunications Towers","Communication"
"6412","07/02/2016","Al Hudaydah","-","Unknown"
"6413","07/02/2016","Al Hudaydah","-","Unknown"
"6414","07/02/2016","Al Hudaydah","-","Unknown"
"6415","07/02/2016","Marib","-","Unknown"
"6416","07/02/2016","Marib","Checkpoint","Checkpoints"
"6417","07/02/2016","Marib","Mosque","Mosque"
"6418","07/02/2016","Marib","Storage Unit","Private business"
"6419","07/02/2016","Marib","-","Unknown"
"6420","07/02/2016","Marib","Political office","HQ"
"6421","07/02/2016","Dhamar","-","Unknown"
"6422","07/02/2016","Ibb","Civilians' houses","Residential Area"
"6423","07/02/2016","Ibb","Soqam dam","Water & Electricity"
"6424","07/02/2016","Al Mahwit","Civilian's car","Vehicle/buss"
"6425","07/02/2016","Al Mahwit","Civilian's house","Residential Area"
"6426","07/02/2016","Al Mahwit","Sa'ada-Border districts road","Transport"
"6427","07/02/2016","Al Mahwit","School","School"
"6428","07/02/2016","Al Mahwit","Civilian's house","Residential Area"
"6429","07/02/2016","Lahj","Abdulhaleen No'man house","Residential Area"
"6430","07/02/2016","Lahj","Old quarry","Other"
"6431","07/02/2016","Lahj","Al-Omary Military Camp","Military Site"
"6432","07/02/2016","Lahj","-","Unknown"
"6433","08/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6434","08/02/2016","Lahj","Residential area","Residential Area"
"6435","08/02/2016","Lahj","Residential area","Residential Area"
"6436","08/02/2016","Lahj","Residential area","Residential Area"
"6437","08/02/2016","Lahj","Residential area","Residential Area"
"6438","08/02/2016","Al Hudaydah","Civilians' houses","Residential Area"
"6439","08/02/2016","Al Hudaydah","Farms","Farms"
"6440","08/02/2016","Marib","Fishers boats","Transport"
"6441","08/02/2016","Marib","-","Unknown"
"6442","08/02/2016","Marib","Checkpoint","Checkpoints"
"6443","08/02/2016","Dhamar","-","Unknown"
"6444","08/02/2016","Dhamar","-","Unknown"
"6445","08/02/2016","Ibb","-","Unknown"
"6446","08/02/2016","Ibb","-","Unknown"
"6447","08/02/2016","Ibb","Pro-Houthi forces","Forces"
"6448","08/02/2016","Ibb","Pro-Houthi forces","Forces"
"6449","08/02/2016","Al Mahwit","Ahmad Yaseen school","School"
"6450","08/02/2016","Al Mahwit","Cemenetry","Unknown"
"6451","08/02/2016","Al Mahwit","2 houses","Residential Area"
"6452","08/02/2016","Al Mahwit","Civilians' houses","Residential Area"
"6453","08/02/2016","Al Mahwit","Civilians' houses","Residential Area"
"6454","08/02/2016","Al Mahwit","Civilian's house","Residential Area"
"6455","08/02/2016","Lahj","-","Unknown"
"6456","09/02/2016","Lahj","Shaqa'iq Al-No'man school","School"
"6457","09/02/2016","Lahj","House (reportedly belonging to Moneer Al-Hakimi, director of the Yemen channel)","Journalists"
"6458","09/02/2016","Lahj","Presidential Palace","Military Site"
"6459","09/02/2016","Lahj","Al-Hoqbi Plastic factory","Private factory"
"6460","09/02/2016","Lahj","Special forces Military Camp","Military Site"
"6461","09/02/2016","Lahj","Telecommunications Towers","Communication"
"6462","09/02/2016","Lahj","Al-Sawad Military Camp","Military Site"
"6463","09/02/2016","Lahj","YEC Storage Units","Food (storage/transportation)"
"6464","09/02/2016","Lahj","Civilian's car","Vehicle/buss"
"6465","09/02/2016","Lahj","-","Unknown"
"6466","09/02/2016","Lahj","Main Road","Transport"
"6467","09/02/2016","Lahj","Telecommunications Towers","Communication"
"6468","09/02/2016","Lahj","Telecommunication network","Communication"
"6469","09/02/2016","Sana'a","Rwais Saleh Othman Al-Ayzabah house","Residential Area"
"6470","09/02/2016","Amran","-","Unknown"
"6471","09/02/2016","Amran","-","Unknown"
"6472","09/02/2016","Amran","Main Road","Transport"
"6473","09/02/2016","Amran","-","Unknown"
"6474","09/02/2016","Dhamar","-","Unknown"
"6475","09/02/2016","Ibb","Pro-Houthi forces","Forces"
"6476","09/02/2016","Ibb","-","Unknown"
"6477","09/02/2016","Al Mahwit","Food truck","Food (storage/transportation)"
"6478","09/02/2016","Al Mahwit","-","Unknown"
"6479","09/02/2016","Al Mahwit","-","Unknown"
"6480","09/02/2016","Al Mahwit","Ahmad Yaseen school","School"
"6481","09/02/2016","Al Mahwit","-","Unknown"
"6482","09/02/2016","Al Mahwit","Civilian's car","Vehicle/buss"
"6483","09/02/2016","Lahj","Republican Palace","Military Site"
"6484","09/02/2016","Lahj","-","Unknown"
"6485","09/02/2016","Lahj","New veterinary quarry","Other"
"6486","10/02/2016","Lahj","Al-Sawad Military Camp","Military Site"
"6487","10/02/2016","Lahj","-","Unknown"
"6488","10/02/2016","Lahj","-","Unknown"
"6489","10/02/2016","Dhamar","Badw Tents","Residential Area"
"6490","10/02/2016","Ibb","-","Unknown"
"6491","10/02/2016","Al Mahwit","-","Unknown"
"6492","10/02/2016","Al Mahwit","Civilians' houses","Residential Area"
"6493","10/02/2016","Al Mahwit","-","Unknown"
"6494","10/02/2016","Al Mahwit","Food truck","Food (storage/transportation)"
"6495","10/02/2016","Al Mahwit","Civilians' houses","Residential Area"
"6496","10/02/2016","Lahj","-","Unknown"
"6497","10/02/2016","Lahj","-","Unknown"
"6498","10/02/2016","Lahj","Port road","Transport"
"6499","10/02/2016","Lahj","Customs building","Gov. Compounds"
"6500","10/02/2016","Lahj","Farm","Farms"
"6501","11/02/2016","Lahj","Al-Daylami Airbase","Military Site"
"6502","11/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6503","11/02/2016","Lahj","Al-Hafa Military Camp","Military Site"
"6504","11/02/2016","Lahj","-","Unknown"
"6505","11/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6506","11/02/2016","Lahj","-","Unknown"
"6507","11/02/2016","Lahj","-","Unknown"
"6508","11/02/2016","Lahj","Farm","Farms"
"6509","11/02/2016","Lahj","-","Unknown"
"6510","11/02/2016","Lahj","Special forces Military Camp","Military Site"
"6511","11/02/2016","Lahj","YEC storage units","Food (storage/transportation)"
"6512","11/02/2016","Lahj","-","Unknown"
"6513","11/02/2016","Lahj","","Unknown"
"6514","11/02/2016","Lahj","Assaj bridge","Transport"
"6515","11/02/2016","Lahj","Chickens farm","Farms"
"6516","11/02/2016","Lahj","-","Unknown"
"6517","11/02/2016","Lahj","Farm","Farms"
"6518","11/02/2016","Lahj","63rd Mechanized Infantry Brigade","Military Site"
"6519","11/02/2016","Al Hudaydah","25th Mechanized Infantry Brigade","Military Site"
"6520","11/02/2016","Dhamar","Civilians' houses","Residential Area"
"6521","11/02/2016","Dhamar","-","Unknown"
"6522","11/02/2016","Al Bayda","Pro-Houthi forces","Forces"
"6523","11/02/2016","Ibb","-","Unknown"
"6524","11/02/2016","Ibb","Saleh Al-Juhaili house","Residential Area"
"6525","11/02/2016","Ibb","-","Unknown"
"6526","11/02/2016","Ibb","-","Unknown"
"6527","11/02/2016","Al Mahwit","-","Unknown"
"6528","11/02/2016","Al Mahwit","-","Unknown"
"6529","11/02/2016","Lahj","Al-Mukha port","Transport"
"6530","11/02/2016","Lahj","-","Unknown"
"6531","11/02/2016","Lahj","22nd Armoured Brigade","Military Site"
"6532","11/02/2016","Lahj","Pro-Houthi forces","Forces"
"6533","11/02/2016","Lahj","Telecommunications Towers","Communication"
"6534","11/02/2016","Lahj","-","Unknown"
"6535","12/02/2016","Lahj","Fun City Park","Parks/Resorts"
"6536","12/02/2016","Lahj","Near the Celebration Stage","Transport"
"6537","12/02/2016","Lahj","Al-Sab'ein park","Parks/Resorts"
"6538","12/02/2016","Lahj","-","Unknown"
"6539","12/02/2016","Lahj","Al-Daylami Airbase","Military Site"
"6540","12/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6541","12/02/2016","Lahj","-","Unknown"
"6542","12/02/2016","Lahj","-","Unknown"
"6543","12/02/2016","Lahj","-","Unknown"
"6544","12/02/2016","Lahj","Al-Batnah bridge","Transport"
"6545","12/02/2016","Lahj","-","Unknown"
"6546","12/02/2016","Lahj","Ahmad Al-Shareef house","Residential Area"
"6547","12/02/2016","Lahj","Imam Al-Hajjah Quran centre","Institute"
"6548","12/02/2016","Lahj","Civilian's house","Residential Area"
"6549","12/02/2016","Lahj","Trade mall","Private business"
"6550","12/02/2016","Lahj","Restaurant","Private business"
"6551","12/02/2016","Lahj","-","Unknown"
"6552","12/02/2016","Lahj","Al-Batnnah brdge","Transport"
"6553","12/02/2016","Lahj","Stones crusher","Unknown"
"6554","12/02/2016","Lahj","-","Unknown"
"6555","12/02/2016","Hajjah","-","Unknown"
"6556","12/02/2016","Hajjah","-","Unknown"
"6557","12/02/2016","Al Hudaydah","25th Mechanized Infantry Brigade","Military Site"
"6558","12/02/2016","Marib","Abo Mosa Al-Asha'ari Military Camp","Military Site"
"6559","12/02/2016","Dhamar","Badw Tents","Residential Area"
"6560","12/02/2016","Al Bayda","Pro-Houthi forces","Forces"
"6561","12/02/2016","Ibb","House","Figure"
"6562","12/02/2016","Ibb","-","Unknown"
"6563","12/02/2016","Ibb","Qasim Abdullah Al-Shareef house","Residential Area"
"6564","12/02/2016","Ibb","-","Unknown"
"6565","12/02/2016","Al Mahwit","Civilians' houses","Residential Area"
"6566","12/02/2016","Al Mahwit","-","Unknown"
"6567","12/02/2016","Al Mahwit","-","Unknown"
"6568","13/02/2016","Lahj","Al-Daylami Airbase","Military Site"
"6569","13/02/2016","Lahj","Al-Mitwakil farm","Farms"
"6570","13/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6571","13/02/2016","Lahj","Al-Sama'a Military Camp","Military Site"
"6572","13/02/2016","Lahj","Residential area","Residential Area"
"6573","13/02/2016","Lahj","House","Figure"
"6574","13/02/2016","Lahj","Sheikh Ali Al-Jaradi mosque ","Mosque"
"6575","13/02/2016","Lahj","Al-Hadha'ah bridge","Transport"
"6576","13/02/2016","Lahj","Mountain near Al-Estiqbal Military Camp","Unknown"
"6577","13/02/2016","Lahj","Zatr market","Market place"
"6578","13/02/2016","Lahj","Residential area","Residential Area"
"6579","13/02/2016","Lahj","Al-Badri farm","Farms"
"6580","13/02/2016","Lahj","-","Unknown"
"6581","13/02/2016","Lahj","Civilian's car","Vehicle/buss"
"6582","13/02/2016","Lahj","-","Unknown"
"6583","13/02/2016","Lahj","Special forces Military Camp","Military Site"
"6584","13/02/2016","Lahj","YEC Storage Units","Food (storage/transportation)"
"6585","13/02/2016","Lahj","Near the stones crusher","Unknown"
"6586","13/02/2016","Lahj","-","Unknown"
"6587","13/02/2016","Al Hudaydah","-","Unknown"
"6588","13/02/2016","Al Hudaydah","25th Mechanized Infantry Brigade","Military Site"
"6589","13/02/2016","Dhamar","-","Unknown"
"6590","13/02/2016","Dhamar","-","Unknown"
"6591","13/02/2016","Dhamar","-","Unknown"
"6592","13/02/2016","Dhamar","-","Unknown"
"6593","13/02/2016","Ibb","Ali Abdullah Hizam house","Residential Area"
"6594","13/02/2016","Ibb","Pro-Houthi forces","Forces"
"6595","13/02/2016","Ibb","-","Unknown"
"6596","13/02/2016","Ibb","Restaurant","Residential Area"
"6597","13/02/2016","Al Mahwit","Al-Anad market","Market place"
"6598","13/02/2016","Al Mahwit","-","Unknown"
"6599","13/02/2016","Al Mahwit","-","Unknown"
"6600","13/02/2016","Al Mahwit","Yahyan Abo Mosh'if house","Residential Area"
"6601","13/02/2016","Al Mahwit","Water Pumber","Water & Electricity"
"6602","13/02/2016","Al Mahwit","-","Unknown"
"6603","13/02/2016","Lahj","Pro-Houthi forces","Forces"
"6604","13/02/2016","Lahj","New veterinary quarry","Other"
"6605","13/02/2016","Lahj","-","Unknown"
"6606","13/02/2016","Lahj","-","Unknown"
"6607","13/02/2016","Lahj","Al-Mukha port","Transport"
"6608","13/02/2016","Lahj","Pro-Houthi forces","Forces"
"6609","13/02/2016","Lahj","-","Unknown"
"6610","13/02/2016","Lahj","-","Unknown"
"6611","13/02/2016","Lahj","-","Unknown"
"6612","13/02/2016","Lahj","Al-Omary Schools","School"
"6613","13/02/2016","Lahj","-","Unknown"
"6614","14/02/2016","Lahj","Sewing workshop","Private business"
"6615","14/02/2016","Lahj","Sana'a International Airport","Transport"
"6616","14/02/2016","Lahj","Al-Nahdain Military Camp","Military Site"
"6617","14/02/2016","Lahj","YEC Storage Units","Food (storage/transportation)"
"6618","14/02/2016","Lahj","-","Unknown"
"6619","14/02/2016","Lahj","House","Figure"
"6620","14/02/2016","Lahj","-","Unknown"
"6621","14/02/2016","Lahj","Civilians' houses","Residential Area"
"6622","14/02/2016","Marib","Al-Hudaydah Airport","Transport"
"6623","14/02/2016","Marib","-","Unknown"
"6624","14/02/2016","Amran","-","Unknown"
"6625","14/02/2016","Amran","Al-Nasr school","School"
"6626","14/02/2016","Dhamar","-","Unknown"
